Attack Type,date,Amount
Armed Assault,1997/1/1,58
Armed Assault,1997/2/1,52
Armed Assault,1997/3/1,44
Armed Assault,1997/4/1,65
Armed Assault,1997/5/1,51
Armed Assault,1997/6/1,69
Armed Assault,1997/7/1,99
Armed Assault,1997/8/1,90
Armed Assault,1997/9/1,69
Armed Assault,1997/10/1,68
Armed Assault,1997/11/1,65
Armed Assault,1997/12/1,96
Armed Assault,1998/1/1,27
Armed Assault,1998/2/1,20
Armed Assault,1998/3/1,14
Armed Assault,1998/4/1,15
Armed Assault,1998/5/1,10
Armed Assault,1998/6/1,7
Armed Assault,1998/7/1,32
Armed Assault,1998/8/1,48
Armed Assault,1998/9/1,19
Armed Assault,1998/10/1,39
Armed Assault,1998/11/1,25
Armed Assault,1998/12/1,8
Armed Assault,1999/1/1,17
Armed Assault,1999/2/1,11
Armed Assault,1999/3/1,42
Armed Assault,1999/4/1,15
Armed Assault,1999/5/1,23
Armed Assault,1999/6/1,64
Armed Assault,1999/7/1,66
Armed Assault,1999/8/1,26
Armed Assault,1999/9/1,17
Armed Assault,1999/10/1,35
Armed Assault,1999/11/1,40
Armed Assault,1999/12/1,11
Armed Assault,2000/1/1,70
Armed Assault,2000/2/1,28
Armed Assault,2000/3/1,35
Armed Assault,2000/4/1,12
Armed Assault,2000/5/1,24
Armed Assault,2000/6/1,43
Armed Assault,2000/7/1,43
Armed Assault,2000/8/1,25
Armed Assault,2000/9/1,66
Armed Assault,2000/10/1,62
Armed Assault,2000/11/1,51
Armed Assault,2000/12/1,34
Armed Assault,2021/1/1,45
Armed Assault,2021/2/1,39
Armed Assault,2021/3/1,54
Armed Assault,2021/4/1,26
Armed Assault,2021/5/1,26
Armed Assault,2021/6/1,26
Armed Assault,2021/7/1,23
Armed Assault,2021/8/1,159
Armed Assault,2021/9/1,49
Armed Assault,2021/10/1,21
Armed Assault,2021/11/1,59
Armed Assault,2021/12/1,55
Armed Assault,2021/1/2,56
Armed Assault,2021/2/2,50
Armed Assault,2021/3/2,26
Armed Assault,2021/4/2,28
Armed Assault,2021/5/2,36
Armed Assault,2021/6/2,26
Armed Assault,2021/7/2,35
Armed Assault,2021/8/2,42
Armed Assault,2021/9/2,19
Armed Assault,2021/10/2,20
Armed Assault,2021/11/2,16
Armed Assault,2021/12/2,13
Armed Assault,2021/1/3,45
Armed Assault,2021/2/3,40
Armed Assault,2021/3/3,36
Armed Assault,2021/4/3,31
Armed Assault,2021/5/3,36
Armed Assault,2021/6/3,16
Armed Assault,2021/7/3,37
Armed Assault,2021/8/3,3
Armed Assault,2021/9/3,21
Armed Assault,2021/10/3,7
Armed Assault,2021/11/3,28
Armed Assault,2021/12/3,15
Armed Assault,2021/1/4,20
Armed Assault,2021/2/4,9
Armed Assault,2021/3/4,20
Armed Assault,2021/4/4,30
Armed Assault,2021/5/4,28
Armed Assault,2021/6/4,48
Armed Assault,2021/7/4,14
Armed Assault,2021/8/4,14
Armed Assault,2021/9/4,22
Armed Assault,2021/10/4,25
Armed Assault,2021/11/4,11
Armed Assault,2021/12/4,18
Armed Assault,2021/1/5,35
Armed Assault,2021/2/5,12
Armed Assault,2021/3/5,35
Armed Assault,2021/4/5,49
Armed Assault,2021/5/5,48
Armed Assault,2021/6/5,52
Armed Assault,2021/7/5,75
Armed Assault,2021/8/5,80
Armed Assault,2021/9/5,34
Armed Assault,2021/10/5,49
Armed Assault,2021/11/5,13
Armed Assault,2021/12/5,30
Armed Assault,2021/1/6,69
Armed Assault,2021/2/6,133
Armed Assault,2021/3/6,24
Armed Assault,2021/4/6,121
Armed Assault,2021/5/6,70
Armed Assault,2021/6/6,32
Armed Assault,2021/7/6,72
Armed Assault,2021/8/6,62
Armed Assault,2021/9/6,32
Armed Assault,2021/10/6,52
Armed Assault,2021/11/6,46
