Year,Killed,Wounded,Population,Krate,Wrate
1997,10483,8985,5287510954,1.98%,1.70%
1998,2638,8116,5770159557,0.46%,1.41%
1999,2569,5250,5262990677,0.49%,1.00%
2000,3355,5535,5280303060,0.64%,1.05%
2001,6891,22771,5413081033,1.27%,4.21%
2002,3195,7161,5173632869,0.62%,1.38%
2003,2746,7380,5355647820,0.51%,1.38%
2004,4889,12022,4874314547,1.00%,2.47%
2005,5474,12784,5030026774,1.09%,2.54%
2006,8197,15543,4029582322,2.03%,3.86%
2007,11204,22524,3977682196,2.82%,5.66%
2008,8598,18996,5770159557,1.49%,3.29%
2009,8074,19136,5770324218,1.40%,3.32%
2010,7704,15947,5618234816,1.37%,2.84%
2011,7922,14644,5557614000,1.43%,2.63%
2012,13970,25411,6052673802,2.31%,4.20%
2013,20007,37672,6289176172,3.18%,5.99%
2014,27822,41031,6479845975,4.29%,6.33%
2015,28912,43921,6692135594,4.32%,6.56%
2016,29403,39822,6815218987,4.31%,5.84%
2017,23336,24872,6624015910,3.52%,3.75%
