Type,Year,Rate,
Killed,1997,1.98%,
Wounded,1997,1.70%,
Killed,1998,0.46%,
Wounded,1998,1.41%,
Killed,1999,0.49%,
Wounded,1999,1.00%,
Killed,2000,0.64%,
Wounded,2000,1.05%,
Killed,2001,1.27%,
Wounded,2001,4.21%,
Killed,2002,0.62%,
Wounded,2002,1.38%,
Killed,2003,0.51%,
Wounded,2003,1.38%,
Killed,2004,1.00%,
Wounded,2004,2.47%,
Killed,2005,1.09%,
Wounded,2005,2.54%,
Killed,2006,2.03%,
Wounded,2006,3.86%,
Killed,2007,2.82%,
Wounded,2007,5.66%,
Killed,2008,1.49%,
Wounded,2008,3.29%,
Killed,2009,1.40%,
Wounded,2009,3.32%,
Killed,2010,1.37%,
Wounded,2010,2.84%,
Killed,2011,1.43%,
Wounded,2011,2.63%,
Killed,2012,2.31%,
Wounded,2012,4.20%,
Killed,2013,3.18%,
Wounded,2013,5.99%,
Killed,2014,4.29%,
Wounded,2014,6.33%,
Killed,2015,4.32%,
Wounded,2015,6.56%,
Killed,2016,4.31%,
Wounded,2016,5.84%,
Killed,2017,3.52%,
Wounded,2017,3.75%,
