Attack Type,Year,Month,Amount,Date
Armed Assault,1997,1,58,01/01/97
Armed Assault,1997,2,52,02/01/97
Armed Assault,1997,3,44,03/01/97
Armed Assault,1997,4,65,04/01/97
Armed Assault,1997,5,51,05/01/97
Armed Assault,1997,6,69,06/01/97
Armed Assault,1997,7,99,07/01/97
Armed Assault,1997,8,90,08/01/97
Armed Assault,1997,9,69,09/01/97
Armed Assault,1997,10,68,10/01/97
Armed Assault,1997,11,65,11/01/97
Armed Assault,1997,12,96,12/01/97
Armed Assault,1998,1,27,01/01/98
Armed Assault,1998,2,20,02/01/98
Armed Assault,1998,3,14,03/01/98
Armed Assault,1998,4,15,04/01/98
Armed Assault,1998,5,10,05/01/98
Armed Assault,1998,6,7,06/01/98
Armed Assault,1998,7,32,07/01/98
Armed Assault,1998,8,48,08/01/98
Armed Assault,1998,9,19,09/01/98
Armed Assault,1998,10,39,10/01/98
Armed Assault,1998,11,25,11/01/98
Armed Assault,1998,12,8,12/01/98
Armed Assault,1999,1,17,01/01/99
Armed Assault,1999,2,11,02/01/99
Armed Assault,1999,3,42,03/01/99
Armed Assault,1999,4,15,04/01/99
Armed Assault,1999,5,23,05/01/99
Armed Assault,1999,6,64,06/01/99
Armed Assault,1999,7,66,07/01/99
Armed Assault,1999,8,26,08/01/99
Armed Assault,1999,9,17,09/01/99
Armed Assault,1999,10,35,10/01/99
Armed Assault,1999,11,40,11/01/99
Armed Assault,1999,12,11,12/01/99
Armed Assault,2000,1,70,01/01/00
Armed Assault,2000,2,28,02/01/00
Armed Assault,2000,3,35,03/01/00
Armed Assault,2000,4,12,04/01/00
Armed Assault,2000,5,24,05/01/00
Armed Assault,2000,6,43,06/01/00
Armed Assault,2000,7,43,07/01/00
Armed Assault,2000,8,25,08/01/00
Armed Assault,2000,9,66,09/01/00
Armed Assault,2000,10,62,10/01/00
Armed Assault,2000,11,51,11/01/00
Armed Assault,2000,12,34,12/01/00
Armed Assault,2001,1,45,01/01/01
Armed Assault,2001,2,39,02/01/01
Armed Assault,2001,3,54,03/01/01
Armed Assault,2001,4,26,04/01/01
Armed Assault,2001,5,26,05/01/01
Armed Assault,2001,6,26,06/01/01
Armed Assault,2001,7,23,07/01/01
Armed Assault,2001,8,159,08/01/01
Armed Assault,2001,9,49,09/01/01
Armed Assault,2001,10,21,10/01/01
Armed Assault,2001,11,59,11/01/01
Armed Assault,2001,12,55,12/01/01
Armed Assault,2002,1,56,01/01/02
Armed Assault,2002,2,50,02/01/02
Armed Assault,2002,3,26,03/01/02
Armed Assault,2002,4,28,04/01/02
Armed Assault,2002,5,36,05/01/02
Armed Assault,2002,6,26,06/01/02
Armed Assault,2002,7,35,07/01/02
Armed Assault,2002,8,42,08/01/02
Armed Assault,2002,9,19,09/01/02
Armed Assault,2002,10,20,10/01/02
